feature,importance_mean,importance_std
x0_CHEVROLET,2800.0214282577244,245.5104512794432
x0_Buick,2293.2743992170117,134.12464375763767
x0_CHRYSLER,1054.5116392240154,44.85717376402357
x0_BMW,738.675401614669,89.87904114213089
number_of_cylinders,441.504508303844,36.82436767120305
x0_Audi,123.50411226242386,36.02281427923978
year_num,117.33242041722625,21.032141726209577
x0_Acura,114.27701209794259,31.41674910270888
x0_AMC,85.77056430836282,30.085887509545948
x0_Bedrock,20.227185960591214,10.38591681602929
x0_ACURA,0.0,0.0
mileage_num,0.0,0.0
