feature,importance_mean,importance_std
x0_CHEVROLET,3438.785788056258,251.2689300179547
x0_CHRYSLER,2665.075603804147,152.34609747483634
x0_Cadillac,954.0056315644995,137.21854790354982
x0_BMW,729.1501785204225,66.55245160712244
x0_AMC,657.3542372963254,83.88054262467467
number_of_cylinders,484.742657504066,54.82327835159639
x0_Audi,432.13613879190416,96.2519010162142
year_num,259.4303313339047,72.98541218876052
mileage_num,51.20699376391426,7.0529350381270985
x0_Acura,27.764133938491796,11.776393665899612
x0_Buick,5.474207369322949,6.488218612774515
x0_ACURA,0.0,0.0
