feature,importance_mean,importance_std
x0_CHRYSLER,2921.944544162975,274.9100794563509
x0_CHEVROLET,2861.799395998102,264.96713383355797
x0_Chevrolet,970.9405739508554,121.44221942883965
number_of_cylinders,627.4601178526026,119.76576249640493
x0_BMW,554.4122300774698,72.98732320040081
x0_AMC,112.44125413012935,25.201545589798425
year_num,48.4624796448732,19.102121931457678
x0_Buick,40.32262419416065,58.54422457972555
x0_Acura,27.39040449401555,9.001389197386114
mileage_num,0.0,0.0
x0_ACURA,0.0,0.0
x0_Audi,0.0,0.0
