feature,importance_mean,importance_std
x0_CHEVROLET,2982.6462045236526,159.59209538561947
x0_CHRYSLER,2426.4283769419735,130.45715471225702
x0_Cadillac,577.8228921848304,63.43042927917714
number_of_cylinders,524.7726059451417,110.21916729228953
x0_Acura,322.05048286314894,86.4050696058906
x0_Buick,64.54835568743411,22.387748580382635
x0_BMW,43.601309846432194,14.803597799611216
x0_Audi,33.75622998275476,14.64271235525506
year_num,24.231117446239843,10.215168201140353
mileage_num,0.0,0.0
x0_ACURA,0.0,0.0
x0_AMC,0.0,0.0
