feature,importance_mean,importance_std
x0_Buick,3642.013035870571,143.58422547353462
x0_CHEVROLET,2606.8646313087515,96.97464519553945
x0_CHRYSLER,1146.4754410167175,96.33097964333949
x0_BMW,542.335320976812,60.19376304821641
x0_Audi,493.4479557748029,44.44595443841228
x0_Acura,294.56227522976286,38.65244264161977
x0_AMC,284.6540496431423,44.33637875242805
number_of_cylinders,106.71991651151275,11.710390660352354
x0_Bedrock,50.06043703616442,28.63316674094763
x0_ACURA,0.0,0.0
year_num,0.0,0.0
mileage_num,0.0,0.0
