feature,importance_mean,importance_std
x0_CHEVROLET,4094.2439719532995,252.01325151400647
x0_CHRYSLER,2715.339998950544,86.8613363917181
x0_Cadillac,1447.2118332314153,88.70608583365525
x0_BMW,840.3246739472652,47.57672585245398
x0_Audi,504.49973593376365,53.63887203175934
x0_AMC,500.0086076095622,80.16675694037228
number_of_cylinders,359.70992516776187,49.7860377200048
x0_Acura,129.44866808444112,8.20407076678594
mileage_num,124.154812863904,14.416663944779518
year_num,112.22683982683998,11.445655658513239
x0_Buick,20.04530247933899,7.1170501296924895
x0_ACURA,16.22082054309335,3.3106605733120356
