feature,importance_mean,importance_std
x0_CHRYSLER,4121.441749968917,369.28233815539556
x0_CHEVROLET,4010.6864651456754,270.8270126648268
x0_Cadillac,1524.947261490323,243.44599205769376
x0_BMW,749.0349852874135,81.32983998278517
number_of_cylinders,320.3882398773258,31.129431426441446
year_num,252.91288604998118,32.64235688876545
x0_AMC,242.14169060052214,49.5772386082865
x0_Buick,234.83705085167216,100.98094896796145
x0_Acura,196.4446424427039,18.51741943903209
mileage_num,55.57503626341727,6.142611065297245
x0_Audi,27.87970512661109,15.593164889766562
x0_ACURA,0.0,0.0
