feature,importance_mean,importance_std
x0_CHEVROLET,3727.391523089433,250.2125158129421
x0_CHRYSLER,2570.8605317475703,106.11530893666065
x0_Cadillac,1278.5369442758936,102.14196990256237
x0_BMW,691.1660892994612,75.69417415316406
x0_Audi,352.1164924567351,91.05710731531511
number_of_cylinders,224.5466536030046,34.9643464784326
x0_Acura,178.0321596532796,40.23212864893394
year_num,176.48563759950588,55.73605264671068
x0_AMC,157.09048274730145,38.03364366168823
x0_Buick,122.61148575827569,36.798089887062986
mileage_num,68.07380035925053,7.395924689304541
x0_ACURA,0.0,0.0
